wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,countrycodes
kwa,kwd,kwai1243,Kwaio,-8.95,161,Oceanic,Austronesian,Papunesia,SB
kwn,kwn,kwan1273,Kwangali,-18,19.5,Bantoid,Niger-Congo,Africa,NA AO
kwr,tnk,kwam1252,Kwamera,-19.58333333,169.4166667,Oceanic,Austronesian,Papunesia,VU
kwy,kwy,sans1272,Iwoyo,-5.5,12.25,Bantoid,Niger-Congo,Africa,AO
kxo,xuu,kxoe1243,Kxoe,-17.5,22.5,Khoe-Kwadi,Khoe-Kwadi,Africa,NA AO
kyg,ken,keny1279,Kenyang,5.666666667,9.5,Bantoid,Niger-Congo,Africa,CM
kyo,kny,kany1247,Kanyok,-7.333333333,23.58333333,Bantoid,Niger-Congo,Africa,CD
lab,lbu,labu1248,Labu,-6.75,146.9166667,Oceanic,Austronesian,Papunesia,PG
lan,laj,lang1324,Lango,2.166666667,33,Nilotic,Eastern Sudanic,Africa,UG
lau,llu,lauu1247,Lau,-9.583333333,161.5,Oceanic,Austronesian,Papunesia,SB
lbu,lun,lund1266,Lunda,-10.66666667,24,Bantoid,Niger-Congo,Africa,CD
lda,lug,gand1255,Luganda,0.5,32.16666667,Bantoid,Niger-Congo,Africa,UG
ldn,lld,ladi1250,Ladin,46.58333333,11.91666667,Romance,Indo-European,Eurasia,IT
ldo,bdu,orok1266,Londo,5,9.166666667,Bantoid,Niger-Congo,Africa,CM
leb,agh,ngel1238,Lebeo,1.75,25,Bantoid,Niger-Congo,Africa,CD
leg,lea,lega1249,Lega,-2.833333333,27.16666667,Bantoid,Niger-Congo,Africa,CD
len,tnl,lena1238,Lenakel,-19.45,169.25,Oceanic,Austronesian,Papunesia,VU
lew,lww,lewo1242,Lewo,-16.75,168.3333333,Oceanic,Austronesian,Papunesia,VU
lga,ojv,onto1237,Luangiua,-5.333333333,159.4166667,Oceanic,Austronesian,Papunesia,SB
lge,nds,nort2627,Low German,53,10,Germanic,Indo-European,Eurasia,DE
lgi,lag,lang1320,Langi,-4.5,36,Bantoid,Niger-Congo,Africa,TZ
lgu,lgu,long1395,Longgu,-9.75,160.6666667,Oceanic,Austronesian,Papunesia,SB
lin,lin,ling1263,Lingala,2,18.5,Bantoid,Niger-Congo,Africa,CD
llm,lef,lele1264,Lelemi,7.333333333,0.5,Kwa,Niger-Congo,Africa,GH
lma,lom,loma1260,Loma,8,-9.5,Western Mande,Mande,Africa,LR GN
lmb,lam,lamb1271,Lamba,-13,28,Bantoid,Niger-Congo,Africa,CD ZM
lmn,lmn,lamb1269,Lamani,17,77,Indic,Indo-European,Eurasia,IN
lmu,lmu,lame1260,Lamen,-16.58333333,168.1666667,Oceanic,Austronesian,Papunesia,VU
lnd,liy,band1344,Linda,6.5,20.75,Ubangi,Niger-Congo,Africa,CF
lno,lad,ladi1251,Ladino,40,33,Romance,Indo-European,Eurasia,IL TR
lns,lns,lamn1239,Lamnso',6.166666667,10.75,Bantoid,Niger-Congo,Africa,CM
lnw,crc,lonw1238,Lonwolwol,-16.21666667,168,Oceanic,Austronesian,Papunesia,VU
lok,lok,loko1255,Loko,9.333333333,-12.08333333,Western Mande,Mande,Africa,SL
lon,los,loni1238,Loniu,-2.066666667,147.3333333,Oceanic,Austronesian,Papunesia,PG
lou,loj,louu1245,Lou,-2.383333333,147.3166667,Oceanic,Austronesian,Papunesia,PG
loz,loz,lozi1239,Lozi,-17.83333333,26,Bantoid,Niger-Congo,Africa,ZM
luc,lch,luch1239,Lucazi,-14,20,Bantoid,Niger-Congo,Africa,AO
luo,luo,luok1236,Luo,-0.5,34.75,Nilotic,Eastern Sudanic,Africa,TZ KE
luv,lue,luva1239,Luvale,-12,22,Bantoid,Niger-Congo,Africa,AO
lux,ltz,luxe1241,Luxemburgeois,49.83333333,6.166666667,Germanic,Indo-European,Eurasia,LU
luy,luy,saam1283,Luyia,0.416666667,34.5,Bantoid,Niger-Congo,Africa,KE
ma,msj,made1252,Ma,3.5,28,Ubangi,Niger-Congo,Africa,CD
maa,mas,masa1300,Maasai,-3,36,Nilotic,Eastern Sudanic,Africa,KE TZ
mae,mme,maee1241,Mae,-16,167.25,Oceanic,Austronesian,Papunesia,VU
mai,mai,mait1250,Maithili,26,86,Indic,Indo-European,Eurasia,NP IN
mal,plt,plat1254,Malagasy,-20,47,Barito,Austronesian,Africa,MG
mao,mri,maor1246,Maori,-40,176,Oceanic,Austronesian,Papunesia,NZ
mar,mrc,mari1440,Maricopa,33.16666667,-113.1666667,Yuman,Hokan,North America,US
maw,mlq,west2500,Maninka (Western),13,-11,Western Mande,Mande,Africa,ML
mba,mfc,mbaa1245,Mba,1,25,Ubangi,Niger-Congo,Africa,CD
mbe,mdt,mber1257,Mbere,-0.5,14,Bantoid,Niger-Congo,Africa,GA CG
mbi,baw,bamb1266,Mbili,6.116666667,10.2,Bantoid,Niger-Congo,Africa,CM
mbl,mdq,mbol1247,Mbole,-0.666666667,24.66666667,Bantoid,Niger-Congo,Africa,CD
mbz,mtk,mbee1250,Mbe',6.283333333,11.08333333,Bantoid,Niger-Congo,Africa,CM
mde,men,mend1266,Mende,7.833333333,-11.5,Western Mande,Mande,Africa,SL
mdk,mnk,mand1436,Mandinka,13,-15.66666667,Western Mande,Mande,Africa,ML SN GN
mdr,mad,nucl1460,Madurese,-7,113.5,Malayo-Sumbawan,Austronesian,Papunesia,ID
mds,xmm,mala1481,Manadonese,1.5,124.8333333,Malayo-Sumbawan,Austronesian,Papunesia,ID
mdu,muh,mund1326,MÃ¼ndÃ¼,4.5,30,Ubangi,Niger-Congo,Africa,SD CD
mdw,mdw,mbos1242,Mbosi,-1.25,15.5,Bantoid,Niger-Congo,Africa,CG
mga,ndt,ndun1249,Mondunga,2.25,21.5,Ubangi,Niger-Congo,Africa,CD
mgd,mog,mong1342,Mongondow,0.666666667,124,Greater Central Philippine,Austronesian,Papunesia,ID
mgh,mag,maga1260,Magahi,23.5,85.5,Indic,Indo-European,Eurasia,IN
mgk,mhk,mung1266,Mungaka,5.916666667,10,Bantoid,Niger-Congo,Africa,CM
mgn,mdh,magu1243,Magindanao,6.833333333,124.5,Greater Central Philippine,Austronesian,Papunesia,PH
mgo,lol,mong1338,Mongo,0,21,Bantoid,Niger-Congo,Africa,CD
mhi,mar,mara1378,Marathi,19,76,Indic,Indo-European,Eurasia,IN
mhu,lnb,mbal1255,Mbalanhu,-17.5,15,Bantoid,Niger-Congo,Africa,NA
min,min,mina1268,Minangkabau,-1,101,Malayo-Sumbawan,Austronesian,Papunesia,ID
mit,zmq,mitu1240,Mituku,-1.666666667,25.5,Bantoid,Niger-Congo,Africa,CD
mjk,mfv,mand1419,Manjaku,12,-16.25,Northern Atlantic,Niger-Congo,Africa,GW
mka,mxx,maho1249,Mauka,8.333333333,-7.5,Western Mande,Mande,Africa,CI
mkd,kde,mako1251,Makonde,-11,40,Bantoid,Niger-Congo,Africa,MZ TZ
mke,mek,meke1243,Mekeo,-8.333333333,146.5,Oceanic,Austronesian,Papunesia,PG
mkg,mnk,mand1436,Mandinka (Gambian),13.41666667,-16,Western Mande,Mande,Africa,GM
mkn,knf,mank1251,Mankanya,12.08333333,-15.91666667,Northern Atlantic,Niger-Congo,Africa,GW
mkq,nge,ngem1255,Mankon,6,10.16666667,Bantoid,Niger-Congo,Africa,CM
mkz,mcp,maka1304,Makaa,3.416666667,12.25,Bantoid,Niger-Congo,Africa,CM
mla,mcu,nige1255,Mambila,6.75,11.5,Bantoid,Niger-Congo,Africa,CM NG
mlu,mgl,male1289,Maleu,-5.716666667,148.4166667,Oceanic,Austronesian,Papunesia,PG
mly,zsm,stan1306,Malay,3,102,Malayo-Sumbawan,Austronesian,Eurasia,MY
mmb,mna,mbul1263,Mangap-Mbula,-5.666666667,148.0833333,Oceanic,Austronesian,Papunesia,PG
mmn,mmn,mama1275,Mamanwa,9.416666667,125.5,Greater Central Philippine,Austronesian,Papunesia,PH
mmu,zmi,nege1240,Malay (Ulu Muar),2.666666667,102.5,Malayo-Sumbawan,Austronesian,Eurasia,MY
mmw,mgr,mamb1296,Mambwe,-9.083333333,31.16666667,Bantoid,Niger-Congo,Africa,TZ ZM
mnd,cmn,mand1415,Mandarin,34,110,Chinese,Sino-Tibetan,Eurasia,CN
mnk,emk,east2426,Maninka,10.5,-9.5,Western Mande,Mande,Africa,GN SL
mnm,mva,mana1295,Manam,-4,145,Oceanic,Austronesian,Papunesia,PG
mnv,mvn,mina1269,Minaveha,-9.6,150.4666667,Oceanic,Austronesian,Papunesia,PG
mnz,moj,monz1249,Munzombo,3,18.41666667,Ubangi,Niger-Congo,Africa,CG
moa,mte,mono1273,Mono-Alu,-7.05,155.75,Oceanic,Austronesian,Papunesia,SB
moj,mov,moha1256,Mojave,34.66666667,-114.5833333,Yuman,Hokan,North America,US
mok,mkj,moki1238,Mokilese,6.666666667,159.75,Oceanic,Austronesian,Papunesia,FM
mol,ron,roma1327,Moldavian,47,29,Romance,Indo-European,Eurasia,MD
mpo,mye,myen1241,Mpongwe,-1.25,9.5,Bantoid,Niger-Congo,Africa,GA
mrn,mrw,mara1404,Maranao,7.833333333,124.25,Greater Central Philippine,Austronesian,Papunesia,PH
mrq,mrq,sout2866,Marquesan,-8.916666667,-140.0833333,Oceanic,Austronesian,Papunesia,PF
msh,mah,mars1254,Marshallese,7.116666667,171.05,Oceanic,Austronesian,Papunesia,MH
msm,msu,muso1238,Musom,-6.583333333,147,Oceanic,Austronesian,Papunesia,PG
msn,mbq,mais1250,Maisin,-9.5,149.1666667,Oceanic,Austronesian,Papunesia,PG
mtb,mgw,matu1259,Matuumbi,-8.5,39,Bantoid,Niger-Congo,Africa,TZ
mtk,mjk,matu1261,Matukar,-4.916666667,145.75,Oceanic,Austronesian,Papunesia,PG
mtu,meu,motu1246,Motu,-9.333333333,147,Oceanic,Austronesian,Papunesia,PG
mua,xsq,makh1264,Makua,-15,38.66666667,Bantoid,Niger-Congo,Africa,MZ
mud,mnf,mund1327,Mundani,5.666666667,9.916666667,Bantoid,Niger-Congo,Africa,CM
mus,emi,muss1246,Mussau,-1.45,149.6166667,Oceanic,Austronesian,Papunesia,PG
muy,myw,muyu1244,Muyuw,-9.083333333,152.75,Oceanic,Austronesian,Papunesia,PG
mwb,mbb,west2555,Manobo (Western Bukidnon),7.666666667,124.75,Greater Central Philippine,Austronesian,Papunesia,PH
mwc,mke,mawc1242,Mawchi,21.33333333,73.66666667,Indic,Indo-European,Eurasia,IN
mwe,mwe,mwer1248,Mwera,-9,39,Bantoid,Niger-Congo,Africa,TZ
mwo,mlv,motl1237,Mwotlap,-13.58333333,167.5833333,Oceanic,Austronesian,Papunesia,VU
mxe,mxe,mele1250,Ifira-Mele,-17.75,168.25,Oceanic,Austronesian,Papunesia,VU
myg,mdm,mayo1261,Mayogo,3,29,Ubangi,Niger-Congo,Africa,CD
myk,zlm,mala1479,Malay (Kuala Lumpur),3.166666667,101.7,Malayo-Sumbawan,Austronesian,Eurasia,MY
mym,mal,mala1464,Malayalam,10,76.5,Southern Dravidian,Dravidian,Eurasia,IN
myn,mhy,maan1238,Ma'anyan,-2,115,Barito,Austronesian,Papunesia,ID
nak,nak,naka1262,Nakanai,-5.583333333,150.5833333,Oceanic,Austronesian,Papunesia,PG
nal,nal,nali1244,Nalik,-2.95,151.3333333,Oceanic,Austronesian,Papunesia,PG
nan,kln,nand1266,Nandi,0.25,35,Nilotic,Eastern Sudanic,Africa,KE
nau,nau,naur1243,Nauruan,-0.5,166.9166667,Oceanic,Austronesian,Papunesia,NR
nbb,nmb,bign1238,Nambas (Big),-16.08333333,167.2,Oceanic,Austronesian,Papunesia,VU
nbe,ngc,ngom1268,Ngombe,3,23,Bantoid,Niger-Congo,Africa,CD
nbk,stc,natu1249,NatÃ¼gu,-10.78333333,165.8666667,Oceanic,Austronesian,Papunesia,SB
nbm,nbm,ngba1284,Ngbaka (Ma'bo),3.56,18.36,Ubangi,Niger-Congo,Africa,CD
nbo,now,nyam1277,Nyambo,-1,31.33333333,Bantoid,Niger-Congo,Africa,TZ
ndb,nbl,sout2808,Ndebele (in South Africa),-25.33333333,29,Bantoid,Niger-Congo,Africa,ZA
nde,nnb,nand1264,Nande,-0.083333333,29.16666667,Bantoid,Niger-Congo,Africa,CD
ndg,ndz,ndog1248,Ndogo,7.75,27,Ubangi,Niger-Congo,Africa,SD
ndi,ngb,nort2774,Ngbandi,3.75,22,Ubangi,Niger-Congo,Africa,CD
ndo,ndo,ndon1254,Ndonga,-18,17,Bantoid,Niger-Congo,Africa,AO NA
ndr,fij,fiji1243,Nadroga,-18.08333333,177.4166667,Oceanic,Austronesian,Papunesia,FJ
ndt,ndv,ndut1239,Ndut,14.91666667,-16.91666667,Northern Atlantic,Niger-Congo,Africa,SN
ndu,nmd,ndum1239,Ndumu,-1.666666667,13.58333333,Bantoid,Niger-Congo,Africa,GA
neh,nsn,neha1247,Nehan,-4.5,154.2,Oceanic,Austronesian,Papunesia,PG
nel,nee,kuma1276,Nelemwa,-20.25,164.0833333,Oceanic,Austronesian,Papunesia,NC
nep,nep,nepa1252,Nepali,28,85,Indic,Indo-European,Eurasia,NP
nge,nge,ngem1255,Ngemba,6.2,10,Bantoid,Niger-Congo,Africa,CM
ngn,nid,ngan1295,Ngandi,-13.83333333,135,Ngandi,Gunwinyguan,Australia,AU
ngo,ngo,ngon1269,Ngoni,-11,36,Bantoid,Niger-Congo,Africa,MZ TZ
ngu,llp,nort2836,Nguna,-16.91666667,168.5,Oceanic,Austronesian,Papunesia,VU
nif,num,niua1240,Niuafo'ou,-15.56666667,-175.6166667,Oceanic,Austronesian,Papunesia,TO
niu,niu,niue1239,Niuean,-19.05,-170.1166667,Oceanic,Austronesian,Papunesia,NZ
nke,isi,nkem1242,Nkem,6.583333333,8.583333333,Bantoid,Niger-Congo,Africa,NG
nkn,nko,nkon1245,Nkonya,7.166666667,0.25,Kwa,Niger-Congo,Africa,GH
nko,cgg,chig1238,Nkore-Kiga,-0.916666667,29.83333333,Bantoid,Niger-Congo,Africa,UG
nkr,nkr,nuku1260,Nukuoro,3.833333333,154.9166667,Oceanic,Austronesian,Papunesia,FM
nne,nen,neng1238,Nengone,-21.5,168,Oceanic,Austronesian,Papunesia,NC
nng,nyj,nyan1304,Nyanga,-1.25,28.16666667,Bantoid,Niger-Congo,Africa,CD
nnm,tvl,tuva1244,Nanumea,-5.666666667,176.1166667,Oceanic,Austronesian,Papunesia,TV
non,nhu,noon1243,Noni,6.416666667,10.58333333,Bantoid,Niger-Congo,Africa,CM
noo,snf,noon1242,Noon,14.83333333,-16.83333333,Northern Atlantic,Niger-Congo,Africa,SN
nor,nob,norw1259,Norwegian,61,8,Germanic,Indo-European,Eurasia,NO
nro,nhr,naro1249,Nharo,-22.33333333,20.5,Khoe-Kwadi,Khoe-Kwadi,Africa,NA BW
nse,nse,nsen1242,Nsenga,-14.5,30.83333333,Bantoid,Niger-Congo,Africa,ZM
nto,nto,ntom1248,Ntomba,-2,18.33333333,Bantoid,Niger-Congo,Africa,CD
nue,nus,nuer1246,Nuer,8.333333333,32,Nilotic,Eastern Sudanic,Africa,SD ET
nyh,nih,nyih1240,Nyiha,-10,33,Bantoid,Niger-Congo,Africa,ZM TZ
nyl,yly,nyal1254,NyelÃ¢yu,-20.33333333,164.3333333,Oceanic,Austronesian,Papunesia,NC
nym,nym,nyam1276,Nyamwezi,-5,33,Bantoid,Niger-Congo,Africa,TZ
nza,nzk,nzak1247,Nzakara,5,23,Ubangi,Niger-Congo,Africa,CD CF
obg,ogu,ogbr1243,Ogbronuagum,4.75,6.866666667,Cross River,Niger-Congo,Africa,NG
obo,ann,obol1243,Obolo,4.583333333,7.833333333,Cross River,Niger-Congo,Africa,NG
occ,oci,occi1239,Occitan,44,2,Romance,Indo-European,Eurasia,FR
ogb,ogb,ogbi1239,Ogbia,4.666666667,6.25,Cross River,Niger-Congo,Africa,NG
oko,ort,adiv1239,Oriya (Kotia),18.33333333,83,Indic,Indo-European,Eurasia,IN
oku,oku,okuu1243,Oku,6.25,10.5,Bantoid,Niger-Congo,Africa,CM
olm,nij,ngaj1237,Oloh Mangtangai,-0.833333333,113,Barito,Austronesian,Papunesia,ID
oya,ori,nucl1284,Oriya,21,85,Indic,Indo-European,Eurasia,IN
pan,pan,panj1256,Panjabi,31,74,Indic,Indo-European,Eurasia,IN PK
par,lkr,pari1256,PÃ¤ri,5,32.5,Nilotic,Eastern Sudanic,Africa,SD
pat,ptp,pate1247,Patep,-6.916666667,146.5833333,Oceanic,Austronesian,Papunesia,PG
pgl,pif,ping1243,Pingilapese,6.216666667,160.7,Oceanic,Austronesian,Papunesia,FM
pil,piv,pile1238,Pileni,-10.21666667,166.2166667,Oceanic,Austronesian,Papunesia,SB
pkt,pko,poko1263,Pokot,1.5,35.5,Nilotic,Eastern Sudanic,Africa,UG KE
plp,nij,ngaj1237,Pulopetak,1.416666667,109.8333333,Barito,Austronesian,Papunesia,ID
plr,fap,palo1243,Palor,14.83333333,-16.75,Northern Atlantic,Niger-Congo,Africa,SN
pms,pma,paam1238,Paamese,-16.5,168.25,Oceanic,Austronesian,Papunesia,VU
png,pbr,pang1287,Pangwa,-10,34.75,Bantoid,Niger-Congo,Africa,TZ
poa,fwa,fwai1237,Po-Ai,-20.66666667,164.8333333,Oceanic,Austronesian,Papunesia,NC
pog,poy,pogo1243,Pogoro,-8.75,36.5,Bantoid,Niger-Congo,Africa,TZ
poh,pon,pohn1238,Pohnpeian,6.883333333,158.25,Oceanic,Austronesian,Papunesia,FM
por,por,port1283,Portuguese,39,-8,Romance,Indo-European,Eurasia,PT
pre,asa,asut1235,Pare,-4,36.5,Bantoid,Niger-Congo,Africa,TZ
pro,oci,occi1239,ProvenÃ§al,44,6,Romance,Indo-European,Eurasia,FR
psw,psw,port1285,Port Sandwich,-16.5,167.75,Oceanic,Austronesian,Papunesia,VU
pta,duf,dumb1241,Paita,-22.08333333,166.5,Oceanic,Austronesian,Papunesia,NC
ptp,gfk,patp1243,Patpatar,-3.766666667,152.5,Oceanic,Austronesian,Papunesia,PG
pul,puw,pulu1242,Puluwat,7.333333333,149.3333333,Oceanic,Austronesian,Papunesia,FM
que,yum,quec1382,Quechan,32.83333333,-114.3333333,Yuman,Hokan,North America,US
rad,rad,rade1240,Rade,13,108.5,Malayo-Sumbawan,Austronesian,Eurasia,VN
rag,lml,hano1246,Raga,-15.5,168.1666667,Oceanic,Austronesian,Papunesia,VU
rap,rap,rapa1244,Rapanui,-27.11666667,-109.3666667,Oceanic,Austronesian,Papunesia,CL
rav,rmn,balk1252,Romani (Ajia Varvara),38,23.58333333,Indic,Indo-European,Eurasia,GR
rbg,rmo,sint1235,Romani (Burgenland),47.5,16.5,Indic,Indo-European,Eurasia,AT
rbu,rmn,balk1252,Romani (Bugurdzi),42.66666667,21.16666667,Indic,Indo-European,Eurasia,RS
rga,rng,rong1268,Ronga,-26,32.5,Bantoid,Niger-Congo,Africa,MZ
rgn,rog,nort2994,Roglai (Northern),12.16666667,108.8333333,Malayo-Sumbawan,Austronesian,Eurasia,VN
rim,rim,nyat1246,Rimi,-5,34.66666667,Bantoid,Niger-Congo,Africa,TZ
rka,rmy,vlax1238,Romani (Kalderash),45,21,Indic,Indo-European,Eurasia,RS
rlo,rmy,vlax1238,Romani (Lovari),47,21.5,Indic,Indo-European,Eurasia,RO HU
rmc,roh,roma1326,Romansch,46.66666667,9.166666667,Romance,Indo-European,Eurasia,CH
rnd,run,rund1242,Rundi,-3.5,30,Bantoid,Niger-Congo,Africa,BI
rnn,mnv,renn1242,Rennellese,-11.61666667,160.25,Oceanic,Austronesian,Papunesia,SB
rnr,rml,balt1257,Romani (North Russian),60,38,Indic,Indo-European,Eurasia,RU
rny,nyn,nyan1307,Runyankore,-0.5,30.5,Bantoid,Niger-Congo,Africa,UG
rom,ron,roma1327,Romanian,46,25,Romance,Indo-European,Eurasia,RO
ror,rro,waim1251,Roro,-8.75,146.5833333,Oceanic,Austronesian,Papunesia,PG
rot,rtm,rotu1241,Rotuman,-12.5,177.0666667,Oceanic,Austronesian,Papunesia,FJ
rov,rug,rovi1238,Roviana,-8.25,157.3333333,Oceanic,Austronesian,Papunesia,SB
rru,nyo,nyor1246,Runyoro-Rutooro,1.5,31.33333333,Bantoid,Niger-Congo,Africa,UG
rsc,roh,roma1326,Romansch (Scharans),46.75,9.5,Romance,Indo-European,Eurasia,CH
rse,,,Romani (Sepecides),38.25,27,Indic,Indo-European,,TR
rsm,roh,roma1326,Romansch (Surmeiran),46.58333333,9.75,Romance,Indo-European,Eurasia,CH
rsu,roh,roma1326,Romansch (Sursilvan),46.66666667,8.833333333,Romance,Indo-European,Eurasia,CH
rwe,rmw,wels1246,Romani (Welsh),52,-4,Indic,Indo-European,Eurasia,GB
saa,apb,saaa1240,Sa'a,-9.616666667,161.45,Oceanic,Austronesian,Papunesia,SB
sak,sku,saka1289,Sakao,-15.16666667,167.0833333,Oceanic,Austronesian,Papunesia,VU
sam,smo,samo1305,Samoan,-13.91666667,-171.8333333,Oceanic,Austronesian,Papunesia,AS WS
san,sag,sang1328,Sango,5,18,Ubangi,Niger-Congo,Africa,CF
sav,sdg,savi1242,Savi,35,71.5,Indic,Indo-European,Eurasia,AF
sdh,snd,sind1272,Sindhi,26,69,Indic,Indo-European,Eurasia,PK IN
sea,tvk,sout2859,Southeast Ambrym,-16.3,168.2166667,Oceanic,Austronesian,Papunesia,VU
seb,kpz,kups1238,Sebei,1.333333333,34.58333333,Nilotic,Eastern Sudanic,Africa,UG
sen,seh,nucl1396,Sena,-18,35.25,Bantoid,Niger-Congo,Africa,MZ
ses,sot,sout2807,Sesotho,-28,27,Bantoid,Niger-Congo,Africa,ZA LS
sge,sop,song1303,Songe,-6.833333333,22,Bantoid,Niger-Congo,Africa,CD
sgl,szg,seng1278,Sengele,-1.833333333,17.33333333,Bantoid,Niger-Congo,Africa,CD
sgu,snq,sang1333,Sangu,-1.5,11.83333333,Bantoid,Niger-Congo,Africa,GA
shl,shk,shil1265,Shilluk,9.666666667,31.75,Nilotic,Eastern Sudanic,Africa,SD
shm,ksb,sham1280,Shambala,-4.25,38.25,Bantoid,Niger-Congo,Africa,TZ
shn,sna,shon1251,Shona,-18,31,Bantoid,Niger-Congo,Africa,ZW
sio,xsi,sioo1240,Sio,-5.95,147.3333333,Oceanic,Austronesian,Papunesia,PG
sir,sjr,siar1238,Siar,-4.666666667,152.9166667,Oceanic,Austronesian,Papunesia,PG
sis,baa,baba1268,Sisiqa,-7,156.8333333,Oceanic,Austronesian,Papunesia,SB
skm,suk,suku1261,Sukuma,-2.833333333,32,Bantoid,Niger-Congo,Africa,TZ
sku,sub,suku1259,Suku,-6,17.66666667,Bantoid,Niger-Congo,Africa,AO CD
skw,swv,shek1243,Shekhawati,28,75.5,Indic,Indo-European,Eurasia,IN
slb,sbe,sali1295,Saliba (in Papua New Guinea),-10.58333333,150.7166667,Oceanic,Austronesian,Papunesia,PG
sna,scl,shin1264,Shina,36,74,Indic,Indo-European,Eurasia,PK
sng,snc,sina1266,Sinaugoro,-9.833333333,147.8333333,Oceanic,Austronesian,Papunesia,PG
snh,sin,sinh1246,Sinhala,7,80.5,Indic,Indo-European,Eurasia,LK
snn,snk,soni1259,Soninke,15,-10.5,Western Mande,Mande,Africa,CI SN BF ML
sob,sob,sobe1238,Sobei,-1.916666667,138.75,Oceanic,Austronesian,Papunesia,ID
son,sov,sons1242,Sonsorol-Tobi,5.333333333,132.25,Oceanic,Austronesian,Papunesia,PW
spa,spa,stan1288,Spanish,40,-4,Romance,Indo-European,Eurasia,ES
spc,spa,stan1288,Spanish (Canary Islands),28,-15.58333333,Romance,Indo-European,Eurasia,ES
srd,sro,camp1261,Sardinian,40,9,Romance,Indo-European,Eurasia,IT
stn,nso,pedi1238,Sotho (Northern),-24,29,Bantoid,Niger-Congo,Africa,ZA
sub,sbs,subi1246,Subiya,-17.75,24.91666667,Bantoid,Niger-Congo,Africa,NA
sud,tgo,sude1239,Sudest,-11.5,153.45,Oceanic,Austronesian,Papunesia,PG
sun,sun,sund1252,Sundanese,-7,107,Malayo-Sumbawan,Austronesian,Papunesia,ID
sur,sgz,surs1246,Sursurunga,-4,152.7666667,Oceanic,Austronesian,Papunesia,PG
sus,sus,susu1250,Susu,10,-13,Western Mande,Mande,Africa,GN
swa,swh,swah1253,Swahili,-6.5,39,Bantoid,Niger-Congo,Africa,TZ
swe,swe,swed1254,Swedish,60,15,Germanic,Indo-European,Eurasia,FI SE
swt,ssw,swat1243,Swati,-26.5,31,Bantoid,Niger-Congo,Africa,ZA SZ
swv,swe,swed1254,Swedish (VÃ¤sterbotten),64.25,19.75,Germanic,Indo-European,Eurasia,SE
taf,sps,sapo1253,Taiof,-5.533333333,154.6333333,Oceanic,Austronesian,Papunesia,PG
tag,tgl,taga1270,Tagalog,15,121,Greater Central Philippine,Austronesian,Papunesia,PH
tah,tah,tahi1242,Tahitian,-17.66666667,-149.5833333,Oceanic,Austronesian,Papunesia,PF
tak,tbc,taki1248,Takia,-4.666666667,146,Oceanic,Austronesian,Papunesia,PG
tal,tlj,tali1258,Talinga,0.416666667,29.66666667,Bantoid,Niger-Congo,Africa,UG CD
taq,nan,minn1241,Taiwanese,25,121.5,Chinese,Sino-Tibetan,Eurasia,TW
taw,tbo,tawa1275,Tawala,-10.33333333,150.6666667,Oceanic,Austronesian,Papunesia,PG
tbt,tti,toba1266,Tobati,-2.583333333,140.6666667,Oceanic,Austronesian,Papunesia,ID
tbw,tap,taab1238,Tabwa,-8,29.5,Bantoid,Niger-Congo,Africa,ZM CD
tda,tcx,toda1252,Toda,11.41666667,76.75,Southern Dravidian,Dravidian,Eurasia,IN
teo,tio,teop1238,Teop,-5.666666667,155,Oceanic,Austronesian,Papunesia,PG
tes,teo,teso1249,Teso,1.833333333,33.83333333,Nilotic,Eastern Sudanic,Africa,UG
tet,tll,tete1250,Tetela,-4,24,Bantoid,Niger-Congo,Africa,CD
tga,tgg,tang1348,Tangga,-3.466666667,153.2,Oceanic,Austronesian,Papunesia,PG
tgb,tbw,tagb1258,Tagbanwa (Aborlan),9.5,118.5,Greater Central Philippine,Austronesian,Papunesia,PH
tgk,tgc,tiga1245,Tigak,-2.716666667,150.8,Oceanic,Austronesian,Papunesia,PG
tgo,tsv,tsog1243,Tsogo,-1.5,11.33333333,Bantoid,Niger-Congo,Africa,GA
tik,tik,tika1246,Tikar,5.833333333,11.66666667,Bantoid,Niger-Congo,Africa,CM
tin,cir,tiri1258,Tinrin,-21.66666667,165.75,Oceanic,Austronesian,Papunesia,NC
tiv,tiv,tivv1240,Tiv,7.5,9,Bantoid,Niger-Congo,Africa,NG
tja,dih,kumi1248,Tiipay (Jamul),32.16666667,-116.5,Yuman,Hokan,North America,US MX
tke,tkl,toke1240,Tokelauan,-9,-172,Oceanic,Austronesian,Papunesia,TK
tki,bag,tuki1240,Tuki,4.583333333,11.5,Bantoid,Niger-Congo,Africa,CM
tks,kkw,teke1280,Teke (Southern),-2.333333333,14.5,Bantoid,Niger-Congo,Africa,CG
tla,ksd,kuan1248,Tolai,-4.25,152.0833333,Oceanic,Austronesian,Papunesia,PG
tml,tam,tami1289,Tamil,11,78.5,Southern Dravidian,Dravidian,Eurasia,LK IN
tmm,mla,malo1243,Tamabo,-15.66666667,167.1666667,Oceanic,Austronesian,Papunesia,VU
tna,tuv,turk1308,Turkana,3,35.5,Nilotic,Eastern Sudanic,Africa,KE UG
tne,tem,timn1235,Temne,8.666666667,-13.08333333,Mel,Niger-Congo,Africa,SL
tng,ton,tong1325,Tongan,-21.16666667,-175.1666667,Oceanic,Austronesian,Papunesia,TO
